ORDER ID,ADDED DATE,CLOSEING DATE,TRACKING ID,ORDER STATUS,COURIER NAME,AGENT ID,AGENT NAME,TOPIC,TICKET STATUS,CATEGORY NAME,CATEGORY DESCRIPTION,LAST SECOND REPLY FROM,LAST REPLY FROM,LAST REPLY AGENT,LAST REPLY FROM DATE,LAST REPLY,Details,Details Date
22108605,15-11-24 19:03,,I49019939,rto,DTDC,2,Khushbu,URTO delivery on high priorties ,New,NDR,URGENT RTO DELIVERY,"?
","escalated for RTO delivery 
",Maaz,03-03-25 17:23,"?
",,
23369287,27-01-25 14:21,,3.46696E+11,rto,Amazon Shipping,2,Khushbu,"346696478731
346677624300
346654115852
346525515804
164282765375
",New,NDR,URGENT RTO DELIVERY,"346696478731, 346677624300, 346654115852,  34652551580, 164282765375 - All the shipments are already archieved
","346696478731, 346677624300, 346654115852, 346525515804, 164282765375 - All the shipments are RTO Disposed off
",Maaz,24-02-25 18:30,"update?
",,
23927647,03-02-25 13:39,,80709789926,transit,Bluedart,2,Khushbu,arrange reattempt no update after 27 jan ,New,NDR,REATTEMPT,Following up for reattempt,"ok noted
",Khushbu,04-03-25 18:56,"ok noted
",UD SHIPMENT RECEIVED FOR FURTHER PROCESS,27-02-25 11:00
24148395,10-02-25 12:46,,80720351961,transit,Bluedart,2,Khushbu,"arrange urgent delivery EDD is over
",New,NDR,URGENT DELIVERY,"ok noted
",Following up for reattempt,Maaz,04-03-25 15:00,"ok noted
",UNDELIVERED SHIPMENT HELD AT LOCATION,03-03-25 8:28
24180538,12-02-25 14:40,12-02-25 14:40,I73512635,transit,DTDC,2,Khushbu,9940225684 - update number ,New,DETAILS UPDATION,MOBILE NUMBER,"reattempt done , RECEIVER NOT AVAILABLE/REACHABLE OVER PHONE
","verify and share next action 
",Maaz,03-03-25 17:27,"?
",,
24395787,20-02-25 11:37,,80728919445,transit,Bluedart,2,Khushbu,arrange urgent delivery ,New,NDR,URGENT DELIVERY,"update?
","OFD
",Maaz,04-03-25 15:23,"update?
",DELIVERY DELAYED,04-03-25 19:11
23142009,21-02-25 11:19,,I35546574,rto,DTDC,2,Khushbu,arrange RTO delivery ,New,NDR,URGENT RTO DELIVERY,"TBC
","asked costing 
",Khushbu,04-03-25 11:22,"asked costing 
",,
23636239,21-02-25 11:28,30-01-25 11:34,I72880682,rto,DTDC,2,Khushbu,arrange urgent RTO delivery ,New,NDR,URGENT RTO DELIVERY,"On follow up 
","ok noted
",Khushbu,04-03-25 18:48,"ok noted
",,
24380553,21-02-25 14:53,,80728491756,transit,Bluedart,2,Khushbu,arrange urgent delivery ,New,NDR,URGENT DELIVERY,"We will update
","ok noted
",Khushbu,04-03-25 18:48,"ok noted
",CONSIGNEE'S ADDRESS INCOMPLETE/INCORRECT,04-03-25 19:01
24243603,22-02-25 11:26,,I73512942,transit,DTDC,2,Khushbu,arrange urgent delivery miss route shipment ,New,NDR,URGENT DELIVERY,"reattempted on 01 Mar 2025 , verify with CX

 ","cx call busy 
",Khushbu,04-03-25 18:48,"cx call busy 
",,
24324750,24-02-25 15:22,,I73513291,transit,DTDC,2,Khushbu,arrange urgent delivery no update after 18 feb ,New,NDR,URGENT DELIVERY,"Attempted on 28 Feb 2025 , verify with CX and share next action 
","asked customer and informed seller 
",Khushbu,04-03-25 18:34,"asked customer and informed seller 
",,
23499873,24-02-25 18:42,,I72590403,rto,DTDC,2,Khushbu,arrange urgent RTo delivery  tracking me damged show ho raha he  ,New,NDR,URGENT RTO DELIVERY,"Shipment refused form the seller while RTO Delivery
","seller bol raha he usne reject nahi kiya he 
",Khushbu,04-03-25 18:31,"seller bol raha he usne reject nahi kiya he 
",,
23372353,24-02-25 18:44,,80686018976,rto,Bluedart,2,Khushbu,"arrange RTO delivery tracking me Contact Customer Service	",New,NDR,URGENT RTO DELIVERY,"TBC
","asked seller costing 
",Khushbu,04-03-25 11:26,"asked seller costing 
",RETURNED TO ORIGIN AT SHIPPER'S REQUEST,07-01-25 16:06
24508422,25-02-25 10:40,,LL23830453222,transit,Shree Maruti Courier,2,Khushbu,"H. no. 608,meldi mata valo vaas .. gyaspur gaam  .. sarkhej narol highway- 382405

update address ",New,DETAILS UPDATION,ADDRESS OR PINCODE,"Need next course of action
","??
",Maaz,04-03-25 16:45,"cx not responding  and also informed seller 
",,
24434605,25-02-25 10:56,,77763454613,transit,Bluedart,2,Khushbu,arrange reattempt ,New,NDR,REATTEMPT,"	Consignee'S Address Incomplete/Incorrect	03 Mar 2025
","OFD
",Maaz,04-03-25 15:14,"no ofd yet
",SHIPMENT OUT FOR DELIVERY,05-03-25 10:17
24401284,25-02-25 10:58,,80729013256,transit,Bluedart,2,Khushbu,arrange urgent delivery ,New,NDR,URGENT DELIVERY,"We will update
","ok noted
",Khushbu,04-03-25 16:42,"ok noted
",SHIPMENT ARRIVED,22-02-25 11:25
24497755,25-02-25 12:43,,80732921253,transit,Bluedart,2,Khushbu,arrange urgent delivery EDD is over ,New,NDR,URGENT DELIVERY,"	Delay Caused Beyond Control	03 Mar 2025
","ok noted
",Khushbu,04-03-25 16:42,"ok noted
",DELAY CAUSED BEYOND CONTROL,04-03-25 18:11
24480519,26-02-25 13:31,,10592228281,transit,Ecom FR,2,Khushbu,arrange reattempt ,New,NDR,REATTEMPT,"??
","asked customer voc for ofd unlock 
",Khushbu,04-03-25 16:41,"asked customer voc for ofd unlock 
",,
24511996,26-02-25 15:49,26-02-25 15:49,77767084021,transit,Bluedart,2,Khushbu,arrange raettempt ,New,NDR,REATTEMPT,Following up for reattempt,"ok noted
",Khushbu,04-03-25 16:40,"ok noted
",UNDELIVERED SHIPMENT HELD AT LOCATION,05-03-25 10:33
